Batch No,SSE,Silhouette Score,Accuracy
63,974.4059553622825,0.003302126220119182,0.494
64,979.3760730342575,0.0038359825829285626,0.499
65,978.074186469865,0.00226655343767339,0.481
66,977.9107673380735,0.0037331377713422853,0.535
67,976.652460466793,0.003712121072791944,0.485
68,975.3508446850794,0.003109910010950555,0.492
69,974.234143135643,0.004396574349429733,0.462
70,976.6418787412019,0.0035751183023447542,0.486
71,978.680511589921,0.0015171091809130163,0.511
72,981.567644457176,0.002902551834782834,0.497
73,981.4505490688671,0.0026529695508114024,0.504
74,978.0133236283166,0.0024726667277961685,0.499
75,976.66543653454,0.0035262998954622205,0.454
76,978.2864611525138,0.002693374297503574,0.474
77,972.7021859377147,0.005390102821156116,0.477
78,979.9500311763421,0.0029555287971935193,0.501
79,976.3301802595025,0.0030186356800081236,0.507
80,978.6843572695616,0.0025313216162903356,0.48
81,978.4325136372802,0.002809008033801817,0.523
82,976.3158792572034,0.004954527721942772,0.493
83,974.7154280581102,0.004747740652164894,0.507
84,979.2768776561182,0.0017938576333794494,0.486
85,976.7853289174371,0.003975492761387763,0.492
86,975.9395192884662,0.0035824511836269695,0.489
87,977.171449292595,0.004176028826021215,0.5
88,978.8976878480792,0.003091055100473217,0.486
89,979.1760811132988,0.0015700802118981836,0.476
90,976.4604282110628,0.003297111305899807,0.514
91,976.2790690947757,0.0035198738631722856,0.497
92,979.5978648113667,0.000945599317309517,0.502
93,978.9080167786059,0.0031034200647316527,0.491
94,976.433601912002,0.0032303277635593562,0.537
95,977.1643070077785,0.004406499161691228,0.489
96,975.413202698094,0.0046426878680693486,0.474
97,979.0705975537612,0.00205520583116661,0.47
98,977.086890737653,0.0027722779698978383,0.503
99,978.0631875682259,0.0018123968787964447,0.459
100,976.2807473881091,0.0021797053860595846,0.492
101,978.2421023617744,0.0018360845829408017,0.512
102,980.0454769560732,0.003356276428397875,0.511
103,980.0897172855464,0.0022548396173598857,0.504
104,978.8637479008876,0.002130037106876072,0.493
105,977.2790507754063,0.0028958224933420917,0.491
106,979.6942459440595,0.0023894770476671047,0.492
107,979.1004782283914,0.0025130170560913453,0.47
108,970.2688373206911,0.006771367978770019,0.513
109,974.2953324526673,0.004116089242238671,0.482
110,977.6107202411108,0.003410581925131406,0.465
111,976.864926921997,0.002941251250403431,0.503
112,974.6025718131858,0.002335153446030562,0.511
113,978.2269517173686,0.00205392010681992,0.494
114,977.9434534943891,0.0040506567808515645,0.497
115,979.4829095993323,0.0027974113332644543,0.494
