Batch No,SSE,Silhouette Score
274,2455.071158118086,0.003835014374258803
275,2463.942128919748,0.003029480170522261
276,2458.4038011701023,0.0033632871687142318
277,2455.9604368613154,0.003739907515823489
278,2460.3700936613536,0.0028235209261494314
279,2460.82148966264,0.0032199010271959684
280,2456.7107630756745,0.003796221534428821
281,2454.195681941065,0.004084979676486224
282,2457.095966921533,0.0035023037715910844
283,2457.218025384769,0.003575036335039451
284,2461.0287633828248,0.0030263610528779225
285,2458.892568816835,0.0035520133651683124
286,2457.081622919073,0.003928070238126774
287,2458.946468016231,0.0032435334524458484
288,2461.1297942986484,0.0034586897761862113
289,2458.521852742078,0.0036786056091206703
290,2455.1304060032844,0.0038693133504172266
291,2465.114391681331,0.0025532575565107144
292,2456.356233964731,0.0036054250573898713
293,2459.259026586825,0.003342406462719798
294,2458.761982413038,0.0035491984152795993
295,2458.7454123134503,0.0032799857568698194
296,2465.427447378757,0.0026392180033315113
297,2458.4892468303983,0.0032846860038290467
298,2457.461233740596,0.0036557809999056873
299,2458.555302733343,0.0035986931707885305
300,2457.3793545484295,0.0038030071135454063
301,2456.011496138389,0.0035147218116106174
302,2459.2220028816464,0.0032600671468953775
303,2460.2561286924233,0.0034136368391328915
304,2458.190134139406,0.003354063151945553
305,2459.735222679672,0.00309648456459405
306,2456.3372248135556,0.003773514909652006
307,2459.3968205496158,0.0032669385622241406
308,2457.2230943561485,0.0032532278414988836
309,2459.544058990348,0.0032986970491843005
310,2465.650087891748,0.002250089558205516
311,2459.2777159626903,0.0030052678580138156
312,2461.0119078601083,0.0029702169184081277
313,2459.801237344759,0.0034660040047969644
314,2461.1978318676856,0.0030107067365288103
315,2458.029024609371,0.003658551130429093
316,2456.3113726197275,0.004030701312391017
317,2461.465747705557,0.0032138418538486015
318,2457.463558418021,0.003509409162988901
319,2453.9646138241833,0.003932769566514398
320,2456.1968102701567,0.0034959597949818216
321,2455.2359490403887,0.003946960623281798
322,2458.643314224697,0.003427088580196238
323,2458.347406787073,0.0036314872482142114
324,2460.1551510573368,0.0032426719002451696
325,2459.183654112736,0.0036891711217819307
326,2460.119667827133,0.0034344930644936637
327,2454.671521973162,0.0034905720016811456
328,2462.649669633215,0.0033063944673391503
329,2456.1562729579027,0.004217286402785957
330,2456.5042613498235,0.0039504708448814
331,2457.012940528582,0.003759999514226111
332,2461.0877482703313,0.003053473761787588
333,2459.796322103234,0.003639515093973587
334,2459.098510668713,0.003531226757362941
335,2462.20523443982,0.003125974534250921
336,2455.3275694584413,0.0035297944458375697
337,2455.938425220201,0.0035824729785144953
338,2458.1749520300245,0.0036284252170527436
339,2458.906601579359,0.003279786489969388
340,2462.0083950426624,0.0034171415376946968
341,2451.372472973702,0.004547352550205007
342,2463.8137709004086,0.002712227513608043
343,2456.0111691226616,0.003483966368602483
344,2457.9780581112564,0.0034610133709749805
345,2459.392594936016,0.003773342918424423
346,2458.2886938089973,0.00327300148659634
347,2458.139359012725,0.003581049353355629
348,2459.5513298299547,0.0033042068118634923
349,2460.4416978676163,0.003222339225045747
350,2458.1446224340693,0.0037388570228302684
351,2460.834568873209,0.0031110907805253158
352,2461.0754936739186,0.002992023311100649
353,2456.494107753014,0.0038720207782845044
354,2460.296195247997,0.0030282380495794546
355,2463.049503660082,0.002625623625206054
356,2454.6810491188926,0.003792549149674498
357,2455.34541751605,0.0036428946658011866
358,2455.6428412305913,0.003953910397664126
359,2463.105552861957,0.0030757369099729593
360,2455.4823271958,0.0036155848218996935
361,2453.205026964293,0.004462156940301707
362,2460.1555882228486,0.0033703452566485707
363,2460.3518075066117,0.003055979192139975
364,2457.5320970208554,0.003680461132615534
365,2458.467723763999,0.0035441139090334026
366,2460.7856010011683,0.0033945515069361888
367,2458.300138209564,0.0031896107659261995
368,2457.393223831574,0.0036231698816212563
369,2463.180637795209,0.003038185120247821
370,2462.3553758545318,0.003428151396986652
371,2460.372259375975,0.003243471897442879
372,2459.0092110858604,0.003624782715871487
373,2461.456360284783,0.0030961912883084716
374,2454.194930644363,0.003577554505671462
375,2466.938847684548,0.0026687237054043053
376,2463.171613613867,0.002904623451874341
377,2457.716824200949,0.003716115107862505
378,2460.1514527291442,0.0034712125061358945
379,2460.1386544668476,0.003069396237821109
380,2459.79028959645,0.0034097675498385724
381,2455.905668248293,0.003582707036518096
382,2456.0847617725003,0.0037073818461787985
383,2462.350754296108,0.002980152356206502
384,2455.355134631394,0.0035492362250710142
385,2459.518418157871,0.003696243392087399
386,2458.494980769806,0.0033269439568556864
387,2460.147408559219,0.003724857377045601
388,2462.621681847547,0.0030720371537891035
389,2457.10083212021,0.0036538253397512916
390,2461.405108247595,0.003123997571878316
391,2450.4851493063275,0.004491143749960583
392,2463.3610859728374,0.0029196530556292394
393,2467.4462374001937,0.002196517369152354
394,2450.4222856466367,0.004501805006729648
395,2457.014009961609,0.003783464627959452
396,2459.9042702505244,0.0033997009788121666
397,2451.337373188988,0.004434105733012497
398,2456.7221610615875,0.003627617101029457
399,2453.2500236017663,0.004137033021946526
400,2461.7918635761266,0.003236897458105485
401,2459.8345141853983,0.003403386180621719
402,2457.020628659638,0.0035238478302560845
403,2455.7320839997337,0.0034306877992591944
404,2462.0914089384855,0.0032945840921468693
405,2457.9019629089007,0.0032835636748017164
406,2454.3187293954943,0.004034692821125685
407,2458.311045086325,0.0033627268524810405
408,2449.8288372482125,0.004300808675189193
409,2455.8986509436563,0.004223940439388373
410,2461.187072981521,0.0031773526543927384
411,2459.4803258513725,0.0032566495293407053
412,2455.6410713754967,0.0038048517507149804
413,2462.0586646185475,0.0030527357670440515
414,2457.2435997189273,0.003674855979055449
415,2454.753043548714,0.003762020015744589
416,2451.2273145666804,0.004305465684067889
417,2456.0543221345597,0.003919563139689359
418,2458.6646644730235,0.0032965298607414645
419,2461.5006464135586,0.0028838658458993425
420,2459.387400708189,0.003073763803899694
421,2459.6312332370544,0.0033402760453206865
422,2457.5449759094313,0.003580942023825321
423,2461.8164180375356,0.0030046264362658705
424,2463.271677821953,0.002871364053937315
425,2458.4090592136145,0.003374220328276635
426,2451.1131454051224,0.0042453373385774665
427,2453.9745928145344,0.003562519057516168
428,2458.4472999344475,0.0037917172830072786
429,2463.9764728742234,0.003040480743532311
430,2456.9267821693143,0.0035827521928383575
431,2452.0124714862454,0.00427220997129356
432,2464.6869582765985,0.002575988551905248
433,2454.013566442394,0.004197854931503857
434,2456.9345121894207,0.0036695428598981727
435,2452.015516287882,0.0044032433510001615
436,2456.892664374465,0.0037404156241983883
437,2456.9173928256832,0.003851419795730249
438,2457.1010627659125,0.0035590326588551134
439,2458.32743976544,0.0032441356244504492
440,2458.3265407357285,0.0037743281571768995
441,2463.070142013894,0.0031683164572877285
442,2458.9923288019245,0.0036209281249359408
443,2463.6595931405,0.0030817306505542806
444,2455.840293710372,0.0035659354491270464
445,2459.2342337890277,0.0033003199768858933
446,2463.457833792421,0.003193863840543908
447,2467.9541115238785,0.002156745877090874
448,2458.2352010913078,0.0032066898253646768
449,2458.575625612267,0.0034693862670682235
450,2458.2052974447015,0.0032962221902893673
451,2461.6983916695804,0.0031245751919831365
452,2457.1942742296733,0.003364972341249104
453,2465.892902464302,0.002841000939047929
454,2455.9039767718223,0.0035000733297107373
455,2459.4061043696197,0.0034880706285637998
456,2462.098062495045,0.003058909060504093
457,2460.6041960873185,0.00309364648422925
458,2456.887753754451,0.0034878487191972894
459,2460.937110577904,0.003193354644814858
460,2461.775019089379,0.003264349047772022
461,2460.3526361132494,0.003265851003780375
462,2464.5986001035863,0.0027016200475691527
463,2457.927639637277,0.0035286028281904364
464,2458.1595069111463,0.00365720870936264
465,2459.2122642271215,0.003391360599203081
466,2454.9637184599023,0.003831030596269032
467,2458.6425431039243,0.0033371921772082304
468,2465.230323977882,0.002916254715703153
469,2459.245426493692,0.003626494900463407
470,2460.50902886804,0.00358937728830388
471,2460.144363581711,0.0032581220832046866
472,2460.647512944291,0.003361202138012414
473,2458.960142405902,0.0035030427415823242
474,2458.529211105907,0.003191526948842128
475,2455.4529630424086,0.004110650575628991
476,2458.0443814806854,0.003425336459591304
477,2462.5839860553206,0.0031785046511790603
478,2457.8506429723693,0.0033095076931191087
479,2455.1200306026412,0.003916948085608422
480,2462.538449239689,0.0031167258128338617
