Batch No,SSE,Silhouette Score,Accuracy
164,4846.343340563509,0.008244711905972485,0.4918
165,4837.259086904743,0.009447800885113109,0.4788
166,4847.305296033639,0.008251924631614853,0.4864
167,4845.597975422318,0.008382677870405806,0.4752
168,4830.139291778639,0.009279358631827245,0.489
169,4850.087657337032,0.007891493039337208,0.4836
170,4845.5217168400895,0.008022595722199526,0.4724
171,4846.5715859809625,0.008349125201874997,0.4728
172,4844.302693382586,0.00823528168493812,0.4836
173,4847.401231663596,0.008011622812391098,0.4772
174,4842.515515623698,0.00829166968615386,0.4978
175,4849.651168630139,0.007874741763269697,0.4842
176,4841.136485675679,0.00874263426544488,0.4906
177,4846.628302138319,0.00845134384951036,0.471
178,4840.030987123265,0.00826896266744279,0.4886
179,4853.128148727656,0.007552562863444861,0.4712
180,4839.841321251476,0.008456660101562315,0.497
181,4839.573260260695,0.009004491706439254,0.4938
182,4846.396764588561,0.008107157345138973,0.4764
183,4843.6656974966445,0.008710236291120043,0.4786
184,4843.017716815103,0.008757598837826884,0.492
185,4848.5404196040545,0.008476425852203604,0.4802
186,4849.792670752642,0.008258934868331628,0.4848
187,4850.9324756720425,0.007746365858723264,0.4968
188,4849.088957763937,0.008021940614926164,0.4894
189,4842.953321702599,0.009101539127347014,0.4772
190,4841.113188967757,0.008952940640680038,0.4896
191,4847.653548650463,0.008195541824839538,0.4916
192,4848.534238060358,0.007864398750521818,0.4934
193,4844.189432667399,0.008197339406703362,0.4938
194,4853.6681519432905,0.007591886243268401,0.4852
195,4838.704041613393,0.008805033217457348,0.4908
196,4860.749089656467,0.007229318326133418,0.492
197,4836.505358494751,0.009042517795130524,0.4866
198,4838.016191578434,0.008849406289298214,0.4764
199,4839.4390721418795,0.008491286091329067,0.4936
200,4850.901949468392,0.007960587999463822,0.4906
201,4834.79259613694,0.009310639937835635,0.4912
202,4849.915877282223,0.007623183559951431,0.4918
203,4839.065479345387,0.008619458802389561,0.4952
204,4826.645157445193,0.009972085325636131,0.4766
205,4840.919519821525,0.009067141631064025,0.481
206,4843.435865224003,0.008682971161795287,0.4788
207,4839.041502641016,0.00867759411603056,0.4716
208,4839.777463433205,0.008539326616181758,0.4882
