Batch No,SGD Accuracy,NB Accuracy,PA Accuracy
291,0.757,0.7992,0.8388
292,0.7556,0.7958,0.838
293,0.7574,0.7954,0.8388
294,0.7576,0.7996,0.843
295,0.7614,0.8006,0.8334
296,0.7492,0.784,0.8208
297,0.7642,0.7998,0.843
298,0.76,0.7974,0.8478
299,0.753,0.7878,0.8472
300,0.7542,0.7884,0.8334
301,0.7618,0.7928,0.8356
302,0.753,0.7974,0.8434
303,0.75375075015003,0.8061612322464493,0.8389677935587118
